domain,ascore,backlinks,ip,country,first_seen,last_seen,current_verdict,tox_score,reasons
coruzants.com,2,3,172.67.192.96,,2026-08-27,2026-08-27,MONITOR,1,very-low-authority(AS2); weak signal — human QA
cvillico.com,2,1,104.21.14.64,,2026-08-30,2026-08-30,MONITOR,1,very-low-authority(AS2); weak signal — human QA
daily-hacks.pages.dev,2,1,172.66.44.243,,2026-05-17,2026-08-12,MONITOR,1,very-low-authority(AS2); weak signal — human QA
decoratingmom.com,2,1,172.67.201.81,,2025-05-28,2026-06-05,MONITOR,1,very-low-authority(AS2); weak signal — human QA
decoratingnerds.com,2,1,172.67.144.130,,2025-06-17,2026-07-04,MONITOR,1,very-low-authority(AS2); weak signal — human QA
echoz.pages.dev,2,2,172.66.47.143,,2026-03-08,2026-08-25,MONITOR,1,very-low-authority(AS2); weak signal — human QA
entrepreneurscruise.com,2,1,104.21.31.149,,2025-11-09,2026-04-12,MONITOR,1,very-low-authority(AS2); weak signal — human QA
fashionclothingnews.com,2,4,172.67.156.33,,2026-08-27,2026-09-04,MONITOR,1,very-low-authority(AS2); weak signal — human QA
fastlifesite.com,2,1,172.67.176.248,,2026-09-04,2026-09-04,MONITOR,1,very-low-authority(AS2); weak signal — human QA
findbiz.info,2,1,185.139.128.92,us,2026-03-13,2026-04-19,MONITOR,1,very-low-authority(AS2); weak signal — human QA
findtor.com,2,1,3.132.208.69,us,2026-02-19,2026-03-07,MONITOR,1,very-low-authority(AS2); weak signal — human QA
fixhubs.net,2,1,172.67.139.28,,2026-07-14,2026-09-04,MONITOR,1,very-low-authority(AS2); weak signal — human QA
flamingos.pages.dev,2,1,172.66.44.138,,2026-03-26,2026-03-26,MONITOR,1,very-low-authority(AS2); weak signal — human QA
gardenshaper.com,2,12,198.20.115.3,nl,2025-07-13,2026-08-23,MONITOR,1,very-low-authority(AS2); weak signal — human QA
ggmap.co.com,2,4,172.67.131.117,,2026-09-02,2026-09-02,MONITOR,1,very-low-authority(AS2); weak signal — human QA
ggmap.us.com,2,3,172.67.211.186,,2026-08-31,2026-08-31,MONITOR,1,very-low-authority(AS2); weak signal — human QA
gladeflowers.com,2,3,104.21.74.93,,2026-08-24,2026-08-24,MONITOR,1,very-low-authority(AS2); weak signal — human QA
greenhouseblack.com,2,2,88.223.84.107,us,2025-02-05,2026-07-02,MONITOR,1,very-low-authority(AS2); weak signal — human QA
harian24.com,2,1,104.21.65.94,,2026-03-03,2026-03-03,MONITOR,1,very-low-authority(AS2); weak signal — human QA
hatcherlandscapepartners.com,2,1,185.199.109.153,us,2026-03-03,2026-09-01,MONITOR,1,very-low-authority(AS2); weak signal — human QA
horizon-layer.live,2,1,16.60.178.120,gb,2026-07-04,2026-08-19,MONITOR,2,very-low-authority(AS2); spam-tld(.live); weak signal — human QA
houseimprovementcenter.com,2,1,104.21.81.49,,2026-04-10,2026-07-18,MONITOR,1,very-low-authority(AS2); weak signal — human QA
huldra.pages.dev,2,1,172.66.44.118,,2026-08-01,2026-08-01,MONITOR,1,very-low-authority(AS2); weak signal — human QA
israelmilitaria.blogspot.com,2,60,142.251.167.132,us,2026-03-17,2026-09-04,MONITOR,1,very-low-authority(AS2); weak signal — human QA
ivcfddhbsa.blogspot.com,2,1,192.178.218.132,us,2026-03-13,2026-03-16,MONITOR,1,very-low-authority(AS2); weak signal — human QA
