domain,domain_rating,traffic_domain,positions_source_domain,links_to_target,dofollow_links,is_spam,ip_source,first_seen,last_seen
awesamohealth.com,0.8,0,0,1,0,False,151.106.117.177,2026-01-29T07:51:57Z,
awesomesleep.in,33.0,6019,1245,1,1,False,23.227.38.65,2026-04-02T22:23:24Z,
axisholistic.rest,0.0,0,0,3,2,False,172.67.168.82,2026-08-19T18:58:17Z,
az-directory.com,27.0,0,0,4,4,True,172.67.196.120,2025-12-12T04:48:19Z,
azneyshamsuddin.com,4.1,0,0,1,1,True,202.172.28.194,2025-10-02T22:53:12Z,
b12supplements.com,0.0,0,0,1,1,False,172.67.164.61,2026-08-02T17:51:57Z,
b2w.tv,64.0,2130,546,2,2,False,199.60.103.228,2026-08-22T12:02:15Z,
ba-bamail.com,46.0,15137,4936,2,2,False,104.21.67.194,2024-12-03T12:05:18Z,
bacchusgamma.org,37.0,0,0,125,125,False,104.18.2.50,2026-06-28T19:32:53Z,
backlink-pro-click-through-and-link-building-depot.store,32.0,0,0,1,0,True,104.21.69.80,2026-07-15T07:11:18Z,
backlinkbuilders.shop,28.0,0,0,5,0,True,172.67.201.158,2026-07-24T01:59:55Z,
backlinkengine.shop,0.0,0,0,6,0,True,104.21.70.146,2026-08-12T10:01:26Z,
backlinker.shop,65.0,0,0,3,0,True,172.67.147.186,2026-02-18T10:26:05Z,
backlinkinsights.shop,28.0,0,0,3,0,True,104.21.30.203,2026-08-23T04:27:27Z,
backlinkmart.shop,0.7,0,0,4,0,True,172.67.184.98,2026-06-22T16:51:30Z,
backlinkmasters.shop,28.0,0,0,6,0,True,104.21.40.128,2026-07-19T23:22:00Z,
backlinkon.com,3.9,0,0,1,1,True,118.139.161.199,2026-07-02T21:56:05Z,
backlinkorbit.shop,0.8,0,0,6,0,True,172.67.136.134,2026-06-22T12:02:23Z,
backlinkpartners.shop,0.0,0,0,6,0,True,172.67.189.195,2026-07-28T06:08:07Z,
backlinks.cyou,6.0,0,0,3,0,False,118.139.183.102,2025-09-29T14:23:11Z,
backlinksbank.com,1.4,0,0,1,1,True,118.139.161.199,2026-07-02T11:08:52Z,
backlinkshop.shop,0.9,0,0,6,0,True,172.67.166.126,2026-06-11T04:18:42Z,
backlinkshop.site,52.0,0,0,6,0,True,172.67.196.223,2026-07-31T22:10:29Z,
backlinksplace.site,52.0,0,0,11,0,True,172.67.187.14,2026-07-19T20:08:45Z,
backlinkvault.shop,0.8,0,0,4,0,True,172.67.157.67,2026-06-11T20:54:15Z,
backlinkzeno.shop,0.8,0,0,2,0,True,172.67.167.137,2026-06-23T00:02:53Z,
badanfit.ir,6.0,4,11,1,0,False,147.93.59.166,2025-12-17T20:31:05Z,
bagoph.pics,0.0,0,0,122,0,False,188.114.96.2,2023-06-12T03:39:35Z,2023-12-09T20:09:22Z
bailoutdirectory.com,26.0,0,0,4,4,True,104.21.79.251,2025-12-03T05:03:16Z,
bamboo-directory.com,30.0,0,0,4,4,False,104.21.28.165,2025-12-13T10:39:47Z,
barsloadedcoffee.com,2.6,51,36,1,1,False,23.227.38.32,2026-04-09T02:58:58Z,
base-directory.com,27.0,0,0,4,4,True,172.67.178.200,2025-12-15T23:06:17Z,
basichealthbrands.com,19.0,250,82,2,2,False,23.227.38.65,2025-07-10T04:39:38Z,
baucemag.com,47.0,3,2,1,1,False,162.244.254.126,2025-02-25T20:08:14Z,
bbb.org,93.0,3137761,732177,1,0,False,104.18.13.85,2025-03-24T22:11:26Z,
bbcgoodfood.com,87.0,19670612,495281,3,2,False,151.101.189.91,2024-03-26T22:13:14Z,
bbntimes.com,71.0,301639,2261,1,1,False,172.67.70.108,2026-05-07T19:57:26Z,
bcbloggers.com,43.0,0,0,3,3,True,172.67.165.78,2026-07-20T09:18:07Z,
bcr.org,36.0,0,0,1,1,False,190.180.145.59,2024-08-19T05:02:32Z,
bearaby.com,64.0,32870,3438,1,1,False,23.227.38.65,2023-10-06T14:41:16Z,
bearaby.eu,31.0,1714,451,2,2,False,23.227.38.65,2024-11-19T00:49:15Z,
beautycrew.com.au,59.0,12699,4044,2,2,False,52.84.118.112,2025-10-29T14:27:00Z,
beautysecrets.agency,18.0,0,0,1,1,False,217.160.0.169,2026-07-01T16:01:57Z,
bebrainfit.com,62.0,205,201,15,0,False,104.19.154.92,2022-05-28T01:55:01Z,
befreed.ai,41.0,3939,1127,2,2,False,216.150.1.65,2026-01-06T10:49:34Z,
begindirectory.com,25.0,0,0,2,2,True,104.21.67.15,2025-12-23T10:52:23Z,
bellevuereporter.com,57.0,705,139,4,0,False,192.0.66.43,2026-04-07T20:57:47Z,
bench-press.net,2.8,0,0,7,7,False,198.252.102.249,2020-11-10T22:03:02Z,
benchchem.com,45.0,2369,1693,30,30,False,52.86.42.77,2025-11-27T18:24:30Z,
bentdirectory.com,26.0,0,0,4,4,True,104.21.64.58,2025-12-17T00:57:03Z,
berlin-immobilien-verkaufen.de,11.0,0,0,1,0,True,81.88.34.171,2026-04-21T03:08:41Z,
besafe.in,9.0,0,0,79,0,True,184.168.114.122,2020-05-27T05:59:05Z,2025-04-16T12:09:42Z
best-keyword-seoexpress-portal.store,32.0,0,0,1,0,True,104.21.51.101,2026-05-31T18:13:48Z,
best-seoexpress-off-page-network.store,32.0,0,0,1,0,True,104.21.78.156,2026-05-21T14:32:27Z,
best-value-seo-service.com,0.0,0,0,2,2,False,203.161.54.114,2026-08-03T04:39:18Z,
best5supplements.com,7.0,0,0,916,916,False,104.21.7.29,2018-06-15T07:06:19Z,2025-07-26T21:07:44Z
bestadultdirectory.com,6.0,0,0,3,0,False,184.168.114.4,2025-05-06T14:52:34Z,
bestaffiliateprograms.cc,0.0,0,0,1,0,False,76.76.21.21,2026-08-21T16:54:31Z,
bestaifitnessapp.com,8.0,187,100,1,1,False,198.202.211.1,2025-11-15T00:12:23Z,
bestarticleworld.com,18.0,0,0,2,2,True,104.21.55.170,2024-12-14T11:14:41Z,
bestbusniessdirectory.com,26.0,0,0,2,2,True,167.86.101.193,2025-10-03T03:50:43Z,
bestdarnvegan.com,0.6,20,4,1,1,False,23.227.38.65,2024-03-02T10:42:15Z,
bestdirectorysite.com,20.0,0,0,2,2,True,104.21.56.143,2024-12-13T18:18:52Z,
bestdiscountcodes.net,4.5,0,0,98,0,False,172.67.208.150,2020-02-03T15:19:46Z,2022-02-28T23:05:54Z
bestfornutrition.com,27.0,0,0,23,6,True,172.67.139.89,2020-09-26T14:45:45Z,
bestmusclesupps.com,0.0,0,0,135,135,True,75.98.175.91,2018-06-16T02:03:58Z,2026-04-28T09:15:25Z
bestnootropics.info,0.0,0,0,3,0,False,76.76.21.21,2026-02-25T11:02:40Z,
bestnootropicsnow.com,20.0,0,0,11,3,False,194.164.64.227,2019-05-07T16:37:47Z,
bestnz-poker-casinoslot.com,1.5,0,0,3,3,True,172.67.189.170,2026-08-07T11:27:41Z,
bestrankbacklinks.com,8.0,0,0,1,0,True,203.161.54.114,2026-07-09T14:03:31Z,
bestseobacklinkforsite.com,8.0,0,0,1,0,True,203.161.54.114,2026-08-01T09:32:58Z,
bestsitesbacklinks.com,8.0,0,0,1,0,True,203.161.54.114,2026-07-09T02:25:48Z,
bestsupplementsrated.com,1.7,0,0,5,5,False,172.67.140.230,2022-05-25T02:25:13Z,
besttopdirectory.com,47.0,0,0,2,2,True,213.199.63.182,2025-09-30T03:37:31Z,
bestwebstats.com,2.8,0,0,1,1,True,184.168.115.60,2026-07-03T17:32:42Z,
bestweddingdirectory.com,3.1,0,0,6,0,False,118.139.181.189,2025-05-01T17:10:19Z,
bestweight-loss.com,23.0,0,0,4,4,True,194.164.64.177,2024-04-16T10:54:31Z,
betterhackernews.com,0.0,0,0,2,0,False,216.150.1.193,2026-05-14T02:27:17Z,
betterhood.in,28.0,7937,1385,1,1,False,162.159.135.42,2026-03-17T14:12:09Z,
betterlife.com,13.0,581,87,14,14,True,54.80.207.214,2026-03-12T09:19:58Z,
betternutritionnews.com,2.2,0,0,1,0,False,140.82.12.69,2023-03-25T02:42:32Z,
betulcrime.com,40.0,0,0,6,6,True,172.67.192.162,2026-08-23T00:58:59Z,
beyondfitnessclub.com,5.0,0,0,1,0,True,75.119.200.148,2025-11-27T16:44:57Z,
bhs-links-bg.xyz,0.5,0,0,82,0,True,172.67.174.78,2026-03-30T12:06:15Z,
bhs-links-er.xyz,0.5,0,0,78,0,True,172.67.178.210,2026-04-02T18:21:12Z,
bhs-links-fr.xyz,0.5,0,0,80,0,True,104.21.70.133,2026-03-30T13:45:04Z,
bhs-links-gb.xyz,0.5,0,0,82,0,True,172.67.158.63,2026-03-30T12:14:39Z,
bhs-links-re.xyz,0.5,0,0,80,0,True,104.21.32.91,2026-03-30T13:44:26Z,
bhs-links-rf.xyz,0.5,0,0,83,0,True,104.21.3.173,2026-03-30T11:40:52Z,
