domain,domain_rating,traffic_domain,links_to_target,dofollow_links,is_spam,ip_source
blogscribble.com,43.0,0,8,8,1,172.67.150.162
top10supps.com,14.0,0,8,0,1,216.150.16.65
nanochem.com.vn,3.0,0,8,0,1,124.158.10.21
bye.fyi,47.0,0,7,0,1,195.20.19.178
newsbloger.com,45.0,0,7,7,1,104.21.37.116
popup-blog.com,42.0,0,7,7,1,104.21.73.4
livebloggs.com,50.0,0,7,7,1,172.67.215.244
screenshots.wiki,38.0,0,7,0,1,195.20.19.178
seo-anomaly-linkbuilding.online,4.5,0,7,0,1,172.67.155.45
dailymusings.top,37.0,0,7,0,1,195.20.19.178
seo-anomaly-authority.online,4.5,0,7,0,1,172.67.166.130
biohacking.reviews,1.3,0,7,0,1,172.67.193.200
blogstival.com,46.0,0,7,7,1,172.67.161.203
blogtov.com,44.0,0,7,7,1,104.21.70.30
seo-anomaly-dofollow.website,4.5,0,7,0,1,172.67.165.203
idblogz.com,45.0,0,7,7,1,104.21.11.192
actoblog.com,44.0,0,7,7,1,104.21.61.229
blogripley.com,51.0,0,7,7,1,172.67.198.253
getwebsiteworth.com,17.0,0,7,7,1,118.139.178.110
seo-anomaly-backlink.space,4.4,0,7,0,1,104.21.81.114
seo-anomaly-domain.online,4.5,0,7,0,1,172.67.175.185
pageseopartners.shop,28.0,0,6,0,1,104.21.42.25
linkgrowthauthority.shop,0.0,0,6,0,1,104.21.87.212
seogrowthprovider.shop,0.0,0,6,0,1,104.21.79.253
seolinkcentral.shop,28.0,0,6,0,1,104.21.1.99
linkforgepro.shop,0.8,0,6,0,1,104.21.10.95
rankgrowthinsights.shop,0.0,0,6,0,1,104.21.26.57
seogrowthpipeline.shop,28.0,0,6,0,1,172.67.186.25
seolinkkart.shop,0.8,0,6,0,1,172.67.192.24
guestpostlinks.shop,0.7,0,6,0,1,172.67.157.100
seoboostresults.shop,0.0,0,6,0,1,172.67.209.27
domainrankresults.shop,28.0,0,6,0,1,104.21.56.179
googleseopoint.shop,0.0,0,6,0,1,104.21.50.155
linkrankpro.shop,54.0,0,6,0,1,104.21.57.224
rank-top.click,60.0,0,6,0,1,172.67.176.160
nexabacklinks.shop,0.8,0,6,0,1,104.21.51.213
seolinkexpress.shop,0.0,0,6,0,1,104.21.57.35
primenewsartical.com,0.0,0,6,6,1,172.67.158.108
seo-anomaly-d-12.xyz,0.0,0,6,0,1,172.67.173.18
seoloot.shop,0.7,0,6,0,1,104.21.9.66
archive-hu.com,2.0,0,6,6,1,104.21.38.108
seogrowthstudio.shop,0.0,0,6,0,1,172.67.135.254
topbillion.net,14.0,0,6,0,1,184.168.113.185
seogear.shop,0.7,0,6,0,1,104.21.66.13
rankdeals.shop,0.9,0,6,0,1,104.21.35.133
linkgrowthinsights.shop,28.0,0,6,0,1,104.21.57.240
seo-anomaly-d-1.xyz,0.1,0,6,0,1,104.21.18.205
googleseoexperts.shop,0.0,0,6,0,1,104.21.78.137
