Referring Domain,In Semrush Audit,In Ahrefs Live,Current Action,Link-Level Rows (new),Dead/Unreachable Links,Redirect Hosts,Brand-Owned Hop,Ahrefs Traffic,Ahrefs Positions,Ahrefs Follow Links,Ahrefs is_spam,IP,Generated Family
advanced-saas-seo-directory-outrank-hq.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.214.241,
advanced-search-seoexpress-pros.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,104.21.32.221,
advanced-traffic-surge-and-keyword-rank-bureau.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.165.59,
advancedliving.com,True,False,KEEP_AFFILIATE_RETAIN,2,0,,False,,,0,False,,
advantagesofomega3fattyacid.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,0,0,2,False,104.21.15.209,
adventurerz.com,True,True,REVIEW_MANUALLY,56,0,,False,63,2,0,False,172.67.173.49,
adverr.best,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,104.21.40.8,
advertiseyourdomain.com,True,False,DISAVOW,1,0,,False,,,0,False,,
advertisingweek.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,13289,3884,1,False,162.159.134.42,
advisoryexcellence.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,1853,588,1,False,35.214.118.55,
advocacyforneurorights.org,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,0,0,4,False,192.0.78.137,
adzbusiness.com,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
aevascience.pics,True,False,REVIEW_MANUALLY,3,3,nutropic.com,False,,,0,False,,
aferg.co,True,True,REVIEW_MANUALLY,8,0,,False,0,0,2,True,52.72.49.79,
affiliatblogger.com,False,True,NOT_AUDITED,0,0,,False,0,0,2,True,104.21.86.50,
affiliatedataset.com,True,True,REVIEW_MANUALLY,13,0,,False,1,1,2,False,172.67.220.93,
affiliategrowth.net,True,False,REVIEW_MANUALLY,2,0,,False,,,0,False,,
affiliateshub.co.za,False,True,NOT_AUDITED,0,0,,False,0,0,4,True,102.212.247.163,
affililist.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,749,263,2,False,104.21.38.76,
affilitizer.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,336,274,2,False,104.26.9.161,
