Referring_Domain,Semrush_AS,nationalfosteringgroup.co.uk,thefca.co.uk,thefosteringnetwork.org.uk,capstonefostercare.co.uk,ispfostering.org.uk,fosterplus.co.uk,fosteringpeople.co.uk,swiisfostercare.com,compassfostering.com,orangegrovefostercare.co.uk
biomedcentral.com,73,0,0,3,0,0,0,0,0,0,0
boredpanda.com,73,0,0,2,1,0,0,0,0,0,0
everydayhealth.com,73,0,0,0,0,1,0,0,0,0,0
liverpoolecho.co.uk,73,4,1,0,0,0,0,0,0,1,0
mdpi.com,73,0,0,1,0,0,0,0,0,0,0
newsweek.com,73,0,0,1,0,0,0,0,0,0,0
thetimes.com,73,0,1,3,0,0,0,0,0,0,0
uhc.com,73,0,1,0,0,0,0,0,0,0,0
crunchbase.com,72,0,1,0,1,1,1,0,0,1,0
citizensadvice.org.uk,72,0,0,1,0,0,0,0,0,0,0
dailyrecord.co.uk,72,0,0,3,0,0,0,0,0,0,0
digitalspy.com,72,0,1,0,0,0,0,0,0,0,0
ucl.ac.uk,72,0,0,1,0,0,0,0,0,0,0
walesonline.co.uk,72,1,5,2,0,0,0,0,0,0,0
legit.ng,71,0,1,0,0,0,0,0,0,0,0
natwest.com,71,0,0,1,0,0,0,0,0,0,0
vice.com,71,0,0,5,0,0,0,0,0,0,0
frontiersin.org,70,0,0,1,0,0,0,0,0,0,0
rocketreach.co,70,0,1,0,0,0,0,0,0,0,0
the-sun.com,70,0,0,1,0,0,0,0,0,0,0
tweakers.net,70,1,0,0,0,0,0,0,0,0,0
internetmatters.org,69,11,0,10,0,0,0,0,0,0,0
journals.sagepub.com,69,0,0,1,0,0,0,0,0,0,0
arstechnica.com,68,0,0,1,0,0,0,0,0,0,0
blog.gov.uk,68,0,0,14,0,0,0,0,0,0,0
grokipedia.com,68,0,2,12,2,0,0,1,0,1,0
ucas.com,68,0,0,1,0,0,0,0,0,0,0
sheknows.com,68,0,0,0,0,0,0,0,0,1,0
chroniclelive.co.uk,67,0,0,2,0,0,0,0,0,0,0
scotsman.com,67,0,0,2,0,0,0,0,0,0,0
thesun.ie,67,0,1,5,0,0,0,0,0,0,0
yell.com,67,0,0,0,72,9,12,0,54,153,0
breitbart.com,67,0,0,0,0,0,0,0,0,1,0
glassdoor.co.uk,67,0,0,0,0,0,0,0,0,2,0
daysoftheyear.com,66,0,0,2,0,0,0,0,0,0,0
gov.wales,66,0,0,90,0,0,0,0,0,0,0
mt.gov,66,0,2,0,0,0,0,0,0,0,0
nationalcareers.service.gov.uk,66,0,0,1,0,0,0,0,0,0,0
patient.info,66,0,13,0,0,0,0,0,0,0,0
unibo.it,66,0,0,1,0,0,0,0,0,0,0
yellowpages.com,66,0,0,1,0,0,0,0,0,0,0
belfasttelegraph.co.uk,65,0,1,0,0,0,0,0,0,0,0
leeds.ac.uk,65,0,0,0,1,0,0,0,0,0,0
open.edu,65,0,0,2,0,0,0,0,0,0,0
home.blog,64,0,0,1,0,0,0,0,0,0,0
pitchbook.com,64,1,0,0,2,1,0,0,0,1,1
awwwards.com,64,0,0,0,0,0,0,0,0,11,0
ac-versailles.fr,63,0,0,0,5,0,0,0,0,0,0
turn2us.org.uk,63,0,0,1,0,0,0,0,0,0,0
govdelivery.com,61,0,0,37,0,0,0,0,0,0,0
iisc.ac.in,60,0,0,0,1,0,0,0,0,0,0
overclockers.co.uk,60,0,2,0,0,0,0,0,0,0,0
thelancet.com,60,0,0,0,0,0,0,2,0,0,0
huffingtonpost.co.uk,59,0,1,26,1,0,0,0,0,0,0
leeds.gov.uk,59,0,0,12,0,0,0,0,0,0,0
nottinghampost.com,59,0,2,0,0,0,0,0,0,0,0
rbs.co.uk,59,0,0,2,0,0,0,0,0,0,0
thepinknews.com,59,0,0,3,0,0,0,1,3,0,0
leicestermercury.co.uk,58,2,0,0,0,0,0,0,0,1,1
acast.com,58,0,0,1,0,0,0,0,0,0,0
dailywire.com,58,0,0,0,1,0,0,0,0,0,0
kentonline.co.uk,58,0,0,0,0,1,0,0,0,0,0
mygov.scot,58,0,0,2,0,0,0,0,0,0,0
radio.net,58,0,0,1,0,0,0,0,0,0,0
wikiwand.com,58,0,0,1,0,0,0,0,0,0,0
inews.co.uk,58,0,4,2,0,0,0,0,1,0,0
birminghammail.co.uk,58,0,2,0,0,0,0,0,0,1,0
gridinsoft.com,58,0,0,0,0,0,0,0,0,2,0
bristolpost.co.uk,57,0,0,1,1,0,0,0,2,0,0
bristol.gov.uk,57,0,0,70,0,0,0,0,0,0,0
buzzsprout.com,57,193,0,1,0,0,0,0,0,0,0
hants.gov.uk,57,0,0,13,0,0,0,0,0,0,0
macmillan.org.uk,57,0,0,1,0,0,0,0,0,0,0
mylondon.news,57,0,0,2,0,0,0,0,0,0,0
womanandhome.com,57,1,0,0,0,0,0,0,0,0,0
gov.scot,57,0,0,18,0,0,0,0,0,0,0
